TEXT	0 = non relevant /contextual----  1= Peace/God ----- 2= Patriotism/Victory ------ 3= Blood/War/Battle ------- 4= Pride  ------- 5= National Resources/Beauty of the Land ------------ 6 = Freedom/Prosperity/future	TRANSLATION
Ouviram	5	0
do	5	0
Ipiranga	5	0
as	5	0
margens	5	0
plácidas%	5	0
De	0	0
um	0	0
povo	2	0
heroico	2	0
o	0	0
brado	2	0
retumbante,%	2	0
E	0	0
o	0	0
sol	5	0
da	5	0
Liberdade,	5	0
em	0	0
raios	0	0
fúlgidos,%	0	0
Brilhou	5	0
no	5	0
céu	5	0
da	5	0
Pátria	5	0
nesse	5	0
instante.&%	5	0
Se	0	0
o	0	0
penhor	0	0
dessa	0	0
igualdade%	0	0
Conseguimos	0	0
conquistar	3	0
com	3	0
braço	3	0
forte,%	3	0
Em	6	0
teu	6	0
seio,	6	0
ó	6	0
Liberdade,%	6	0
Desafia	0	0
o	0	0
nosso	2	0
peito	2	0
a	0	0
própria	2	0
morte!%	2	0
Ó	2	0
Pátria	2	0
amada,%	2	0
Idolatrada,%	2	0
Salve!	4	0
Salve!&%	4	0
Brasil,	2	0
um	2	0
sonho	2	0
intenso,	2	0
um	2	0
raio	2	0
vívido,%	2	0
De	1	0
amor	1	0
e	1	0
de	1	0
esperança	1	0
à	0	0
terra	0	0
desce,%	0	0
Se	0	0
em	0	0
teu	5	0
formoso	5	0
céu,	0	0
risonho	0	0
e	0	0
límpido,%	0	0
A	0	0
imagem	0	0
do	0	0
Cruzeiro	0	0
resplandece.&%	0	0
Gigante	5	0
pela	5	0
própria	5	0
natureza,%	5	0
És	0	0
belo,	5	0
és	0	0
forte,	4	0
impávido	4	0
colosso,%	4	0
E	0	0
o	0	0
teu	6	0
futuro	6	0
espelha	6	0
essa	6	0
grandeza.&%	6	0
Terra	4	0
adorada%	4	0
Entre	0	0
outras	0	0
mil%	0	0
És	2	0
tu,	2	0
Brasil,%	2	0
Ó	2	0
Pátria	2	0
amada!&%	2	0
Dos	0	0
filhos	0	0
deste	0	0
solo%	0	0
És	1	0
mãe	1	0
gentil,%	1	0
Pátria	2	0
amada,%	2	0
Brasil!&%	2	0
Deitado	0	0
eternamente	0	0
em	0	0
berço	0	0
esplêndido,%	0	0
Ao	0	0
som	0	0
do	0	0
mar	0	0
e	0	0
à	0	0
luz	0	0
do	0	0
céu	0	0
profundo,%	0	0
Fulguras,	4	0
ó	4	0
Brasil,	4	0
florão	4	0
da	4	0
América,%	4	0
Iluminado	4	0
ao	4	0
sol	4	0
do	4	0
Novo	4	0
Mundo!&%	4	0
Do	0	0
que	0	0
a	0	0
terra	0	0
mais	0	0
garrida%	0	0
Teus	5	0
risonhos,	5	0
lindos	5	0
campos	5	0
têm	5	0
mais	5	0
flores,%	5	0
Nossos	4	0
bosques	5	0
têm	4	0
mais	4	0
vida,%	4	0
Nossa	4	0
vida	4	0
no	4	0
teu	4	0
seio	4	0
mais 	4	0
amores.&%	4	0
Ó	2	0
Pátria	2	0
amada,%	2	0
Idolatrada,%	2	0
Salve!	2	0
Salve!%&	2	0
Brasil,	2	0
de	0	0
amor	1	0
eterno	1	0
seja	0	0
símbolo%	0	0
O	0	0
lábaro	0	0
que	0	0
ostentas	0	0
estrelado,%	0	0
E	0	0
diga	0	0
o	0	0
verde-louro	0	0
dessa	0	0
flâmula%	0	0
Paz	1	0
no	6	0
futuro	6	0
e	6	0
glória	6	0
no	6	0
passado.&%	6	0
Mas	3	0
se	3	0
ergues	3	0
da	3	0
justiça	3	0
a	3	0
clava	3	0
forte,%	3	0
Verás	3	0
que	3	0
um	3	0
filho	3	0
teu	3	0
não	3	0
foge	3	0
à	3	0
luta,%	3	0
Nem	3	0
teme,	3	0
quem	3	0
te	3	0
adora,	3	0
a	3	0
própria	3	0
morte.&%	3	0
Terra	2	0
adorada%	2	0
Entre	4	0
outras	4	0
mil%	4	0
És	0	0
tu,	2	0
Brasil,%	2	0
Ó	2	0
Pátria	2	0
amada!&%	2	0
Dos	0	0
filhos	0	0
deste	0	0
solo%	0	0
És	1	0
mãe	1	0
gentil,%	1	0
Pátria	2	0
amada,%	2	0
Brasil!&%	2	0