TEXT	 0 = non relevant /contextual----  1= Peace and Harmony ----- 2= Hope and Prosperity ------ 3= Blood/War/Battle	TRANSLATION
Allons	0	0
enfants	0	0
de	0	0
la	0	0
Patrie,%	0	0
Le	0	0
jour	0	0
de	0	0
gloire	0	0
est	0	0
arrivé!%	0	0
Contre	0	0
nous	0	0
de	0	0
la	0	0
tyrannie,%	0	0
L'étendard	0	0
sanglant	0	0
est	0	0
levé,%	0	0
Entendez-vous	0	0
dans	0	0
les	0	0
campagnes%	0	0
Mugir	0	0
ces	0	0
féroces	0	0
soldats?%	0	0
Ils	0	0
viennent	0	0
jusque	0	0
dans	0	0
vos	0	0
bras%	0	0
Égorger	0	0
vos	0	0
fils,	0	0
vos	0	0
compagnes!&%	0	0
Aux	0	0
armes,	0	0
citoyens,%	0	0
Formez	0	0
vos	0	0
bataillons,%	0	0
Marchons,	0	0
marchons!%	0	0
Qu'un	0	0
sang	0	0
impur%	0	0
Abreuve	0	0
nos	0	0
sillons!&%	0	0
Que	0	0
veut	0	0
cette	0	0
horde	0	0
d'esclaves,%	0	0
De	0	0
traîtres,	0	0
de	0	0
rois	0	0
conjurés?%	0	0
Pour	0	0
qui	0	0
ces	0	0
ignobles	0	0
entraves,%	0	0
Ces	0	0
fers	0	0
dès	0	0
longtemps	0	0
préparés?%	0	0
Français,	0	0
pour	0	0
nous,	0	0
ah!	0	0
quel	0	0
outrage!%	0	0
Quels	0	0
transports	0	0
il	0	0
doit	0	0
exciter!%	0	0
C'est	0	0
nous	0	0
qu'on	0	0
ose	0	0
méditer%	0	0
De	0	0
rendre	0	0
à	0	0
l'antique	0	0
esclavage!&%	0	0
Quoi!	0	0
des	0	0
cohortes	0	0
étrangères%	0	0
Feraient	0	0
la	0	0
loi	0	0
dans	0	0
nos	0	0
foyers!%	0	0
Quoi!	0	0
ces	0	0
phalanges	0	0
mercenaires%	0	0
Terrasseraient	0	0
nos	0	0
fiers	0	0
guerriers!%	0	0
Grand	0	0
Dieu!	0	0
par	0	0
des	0	0
mains	0	0
enchaînées%	0	0
Nos	0	0
fronts	0	0
sous	0	0
le	0	0
joug	0	0
se	0	0
ploieraient%	0	0
De	0	0
vils	0	0
despotes	0	0
deviendraient%	0	0
Les	0	0
maîtres	0	0
de	0	0
nos	0	0
destinées!&%	0	0
Tremblez,	0	0
tyrans	0	0
et	0	0
vous	0	0
perfides%	0	0
L'opprobre	0	0
de	0	0
tous	0	0
les	0	0
partis,%	0	0
Tremblez!	0	0
vos	0	0
projets	0	0
parricides%	0	0
Vont	0	0
enfin	0	0
recevoir	0	0
leurs	0	0
prix!%	0	0
Tout	0	0
est	0	0
soldat	0	0
pour	0	0
vous	0	0
combattre,%	0	0
S'ils	0	0
tombent,	0	0
nos	0	0
jeunes	0	0
héros,%	0	0
La	0	0
terre	0	0
en	0	0
produit	0	0
de	0	0
nouveaux,%	0	0
Contre	0	0
vous	0	0
tout	0	0
prêts	0	0
à	0	0
se	0	0
battre!&%	0	0
Français,	0	0
en	0	0
guerriers	0	0
magnanimes,%	0	0
Portez	0	0
ou	0	0
retenez	0	0
vos	0	0
coups!%	0	0
Épargnez	0	0
ces	0	0
tristes	0	0
victimes,%	0	0
À	0	0
regret	0	0
s'armant	0	0
contre	0	0
nous.%	0	0
Mais	0	0
ces	0	0
despotes	0	0
sanguinaires,%	0	0
Mais	0	0
ces	0	0
complices	0	0
de	0	0
Bouillé,%	0	0
Tous	0	0
ces	0	0
tigres	0	0
qui,	0	0
sans	0	0
pitié,%	0	0
Déchirent	0	0
le	0	0
sein	0	0
de	0	0
leur	0	0
mère!&%	0	0
Amour	0	0
sacré	0	0
de	0	0
la	0	0
Patrie,%	0	0
Conduis,	0	0
soutiens	0	0
nos	0	0
bras	0	0
vengeurs%	0	0
Liberté,	0	0
Liberté	0	0
chérie,%	0	0
Combats	0	0
avec	0	0
tes	0	0
défenseurs!%	0	0
Sous	0	0
nos	0	0
drapeaux	0	0
que	0	0
la	0	0
victoire%	0	0
Accoure	0	0
à	0	0
tes	0	0
mâles	0	0
accents,%	0	0
Que	0	0
tes	0	0
ennemis	0	0
expirants%	0	0
Voient	0	0
ton	0	0
triomphe	0	0
et	0	0
notre	0	0
gloire!&%	0	0